Text,Personality
I feel energized in crowds #21,Extrovert
I feel comfortable being alone #880,Introvert
I feel energized in crowds #98,Extrovert
I actively participate in events #365,Extrovert
I feel comfortable being alone #897,Introvert
I like small group conversations #784,Introvert
I prefer staying home on weekends #51,Introvert
I feel bored when alone #946,Extrovert
I prefer spending time alone reading books #101,Introvert
I like working independently #389,Introvert
I love meeting new people #193,Extrovert
I like small group conversations #681,Introvert
I enjoy quiet evenings at home #361,Introvert
I love meeting new people #911,Extrovert
I feel bored when alone #366,Extrovert
I love meeting new people #534,Extrovert
I enjoy solo hobbies like painting #567,Introvert
I enjoy parties and social events #782,Extrovert
I feel bored when alone #515,Extrovert
I enjoy group activities #177,Extrovert
I like being the center of attention #632,Extrovert
I like working independently #950,Introvert
I like being the center of attention #561,Extrovert
I actively participate in events #387,Extrovert
I enjoy quiet evenings at home #519,Introvert
I enjoy solo hobbies like painting #864,Introvert
I avoid large crowds #202,Introvert
I prefer spending time alone reading books #288,Introvert
I enjoy group activities #697,Extrovert
I enjoy quiet evenings at home #131,Introvert
I enjoy quiet evenings at home #339,Introvert
I like working in teams #353,Extrovert
I enjoy group activities #28,Extrovert
I love meeting new people #683,Extrovert
I feel energized in crowds #222,Extrovert
I prefer spending time alone reading books #123,Introvert
I prefer spending time alone reading books #417,Introvert
I feel bored when alone #997,Extrovert
I feel energized in crowds #81,Extrovert
I feel comfortable being alone #826,Introvert
I prefer staying home on weekends #350,Introvert
I love meeting new people #33,Extrovert
I enjoy parties and social events #46,Extrovert
I enjoy group activities #77,Extrovert
I like small group conversations #268,Introvert
I feel comfortable being alone #367,Introvert
I prefer spending time alone reading books #882,Introvert
I love hanging out with friends #756,Extrovert
I avoid large crowds #582,Introvert
I enjoy group activities #450,Extrovert
I love meeting new people #841,Extrovert
I enjoy quiet evenings at home #842,Introvert
I feel bored when alone #301,Extrovert
I prefer spending time alone reading books #237,Introvert
I feel comfortable being alone #637,Introvert
I prefer spending time alone reading books #492,Introvert
I feel drained after social gatherings #392,Introvert
I avoid large crowds #990,Introvert
I actively participate in events #968,Extrovert
I like working in teams #260,Extrovert
I enjoy parties and social events #338,Extrovert
I enjoy group activities #1,Extrovert
I prefer texting over calling #598,Introvert
I prefer texting over calling #234,Introvert
I prefer staying home on weekends #766,Introvert
I feel energized in crowds #720,Extrovert
I enjoy quiet evenings at home #587,Introvert
I enjoy group activities #893,Extrovert
I actively participate in events #743,Extrovert
I like small group conversations #427,Introvert
I prefer spending time alone reading books #628,Introvert
I actively participate in events #766,Extrovert
I feel drained after social gatherings #153,Introvert
I enjoy parties and social events #118,Extrovert
I feel bored when alone #985,Extrovert
I avoid large crowds #20,Introvert
I like working in teams #272,Extrovert
I prefer texting over calling #703,Introvert
I enjoy solo hobbies like painting #794,Introvert
I prefer texting over calling #834,Introvert
I avoid large crowds #33,Introvert
I actively participate in events #291,Extrovert
I prefer staying home on weekends #47,Introvert
I feel drained after social gatherings #541,Introvert
I like working independently #571,Introvert
I actively participate in events #975,Extrovert
I prefer staying home on weekends #825,Introvert
I actively participate in events #699,Extrovert
I avoid large crowds #742,Introvert
I feel energized in crowds #142,Extrovert
I enjoy parties and social events #342,Extrovert
I like working in teams #386,Extrovert
I avoid large crowds #506,Introvert
I enjoy group activities #306,Extrovert
I feel drained after social gatherings #37,Introvert
I prefer staying home on weekends #168,Introvert
I avoid large crowds #111,Introvert
I enjoy solo hobbies like painting #496,Introvert
I feel drained after social gatherings #803,Introvert
I avoid large crowds #82,Introvert
I prefer texting over calling #461,Introvert
I feel drained after social gatherings #634,Introvert
I like working in teams #110,Extrovert
I like working in teams #869,Extrovert
I like working in teams #704,Extrovert
I avoid large crowds #141,Introvert
I enjoy talking on calls for hours #127,Extrovert
I like being the center of attention #750,Extrovert
I feel drained after social gatherings #983,Introvert
I prefer texting over calling #752,Introvert
I like being the center of attention #264,Extrovert
I prefer staying home on weekends #169,Introvert
I love hanging out with friends #568,Extrovert
I prefer staying home on weekends #693,Introvert
I enjoy talking on calls for hours #994,Extrovert
I like working in teams #662,Extrovert
I prefer spending time alone reading books #353,Introvert
I prefer texting over calling #262,Introvert
I enjoy group activities #678,Extrovert
I feel energized in crowds #70,Extrovert
I avoid large crowds #104,Introvert
I feel comfortable being alone #108,Introvert
I actively participate in events #806,Extrovert
I enjoy solo hobbies like painting #280,Introvert
I feel drained after social gatherings #597,Introvert
I enjoy parties and social events #126,Extrovert
I like small group conversations #307,Introvert
I enjoy talking on calls for hours #784,Extrovert
I feel comfortable being alone #182,Introvert
I love meeting new people #460,Extrovert
I actively participate in events #473,Extrovert
I prefer staying home on weekends #575,Introvert
I feel drained after social gatherings #776,Introvert
I like working in teams #840,Extrovert
I prefer spending time alone reading books #4,Introvert
I like working in teams #828,Extrovert
I love hanging out with friends #965,Extrovert
I like being the center of attention #316,Extrovert
I like working independently #370,Introvert
I like being the center of attention #318,Extrovert
I like small group conversations #373,Introvert
I prefer staying home on weekends #799,Introvert
I prefer staying home on weekends #749,Introvert
I actively participate in events #868,Extrovert
I enjoy talking on calls for hours #307,Extrovert
I feel bored when alone #548,Extrovert
I enjoy group activities #451,Extrovert
I feel comfortable being alone #92,Introvert
I prefer staying home on weekends #446,Introvert
I enjoy solo hobbies like painting #609,Introvert
I feel bored when alone #137,Extrovert
I prefer staying home on weekends #179,Introvert
I prefer staying home on weekends #395,Introvert
I enjoy solo hobbies like painting #831,Introvert
I prefer staying home on weekends #900,Introvert
I love meeting new people #455,Extrovert
I enjoy parties and social events #32,Extrovert
I enjoy group activities #216,Extrovert
I enjoy group activities #745,Extrovert
I prefer texting over calling #190,Introvert
I prefer texting over calling #45,Introvert
I love meeting new people #362,Extrovert
I feel comfortable being alone #475,Introvert
I prefer texting over calling #967,Introvert
I enjoy quiet evenings at home #618,Introvert
I like working independently #662,Introvert
I enjoy parties and social events #169,Extrovert
I love meeting new people #355,Extrovert
I feel energized in crowds #631,Extrovert
I feel drained after social gatherings #720,Introvert
I enjoy group activities #742,Extrovert
I enjoy parties and social events #244,Extrovert
I like being the center of attention #197,Extrovert
I avoid large crowds #35,Introvert
I love meeting new people #825,Extrovert
I enjoy quiet evenings at home #956,Introvert
I actively participate in events #229,Extrovert
I feel energized in crowds #931,Extrovert
I like being the center of attention #902,Extrovert
I prefer spending time alone reading books #454,Introvert
I like being the center of attention #60,Extrovert
I enjoy quiet evenings at home #5,Introvert
I enjoy solo hobbies like painting #976,Introvert
I actively participate in events #706,Extrovert
I feel bored when alone #208,Extrovert
I enjoy quiet evenings at home #426,Introvert
I like small group conversations #139,Introvert
I enjoy parties and social events #300,Extrovert
I like working in teams #730,Extrovert
I feel bored when alone #816,Extrovert
I like working in teams #722,Extrovert
I like being the center of attention #770,Extrovert
I enjoy quiet evenings at home #595,Introvert
I love hanging out with friends #105,Extrovert
I feel comfortable being alone #134,Introvert
I enjoy group activities #923,Extrovert
I like being the center of attention #778,Extrovert
I feel energized in crowds #61,Extrovert
I prefer texting over calling #467,Introvert
I actively participate in events #625,Extrovert
I love hanging out with friends #23,Extrovert
I enjoy quiet evenings at home #851,Introvert
I love hanging out with friends #144,Extrovert
I like small group conversations #991,Introvert
I like small group conversations #688,Introvert
I like small group conversations #89,Introvert
I prefer spending time alone reading books #253,Introvert
I like small group conversations #932,Introvert
I like working in teams #967,Extrovert
I love meeting new people #391,Extrovert
I like small group conversations #503,Introvert
I love hanging out with friends #915,Extrovert
I like small group conversations #741,Introvert
I prefer texting over calling #593,Introvert
I like working independently #393,Introvert
I feel bored when alone #182,Extrovert
I avoid large crowds #313,Introvert
I enjoy parties and social events #940,Extrovert
I prefer staying home on weekends #44,Introvert
I like small group conversations #147,Introvert
I love meeting new people #335,Extrovert
I enjoy solo hobbies like painting #621,Introvert
I like working independently #151,Introvert
I prefer staying home on weekends #13,Introvert
I feel drained after social gatherings #11,Introvert
I like working in teams #420,Extrovert
I enjoy talking on calls for hours #626,Extrovert
I feel bored when alone #104,Extrovert
I avoid large crowds #822,Introvert
I feel bored when alone #232,Extrovert
I like being the center of attention #894,Extrovert
I love meeting new people #538,Extrovert
I feel comfortable being alone #499,Introvert
I feel energized in crowds #938,Extrovert
I feel energized in crowds #681,Extrovert
I love hanging out with friends #449,Extrovert
I like small group conversations #948,Introvert
I love meeting new people #354,Extrovert
I actively participate in events #263,Extrovert
I feel drained after social gatherings #229,Introvert
I feel energized in crowds #364,Extrovert
I enjoy group activities #686,Extrovert
I feel energized in crowds #660,Extrovert
I love meeting new people #842,Extrovert
I enjoy group activities #440,Extrovert
I enjoy talking on calls for hours #654,Extrovert
I feel drained after social gatherings #137,Introvert
I feel drained after social gatherings #368,Introvert
I feel comfortable being alone #539,Introvert
I like working in teams #422,Extrovert
I feel drained after social gatherings #728,Introvert
I feel energized in crowds #813,Extrovert
I like working in teams #310,Extrovert
I feel energized in crowds #649,Extrovert
I feel bored when alone #708,Extrovert
I like working independently #267,Introvert
I like being the center of attention #157,Extrovert
I enjoy quiet evenings at home #140,Introvert
I enjoy talking on calls for hours #30,Extrovert
I feel drained after social gatherings #18,Introvert
I like small group conversations #872,Introvert
I enjoy group activities #292,Extrovert
I like working in teams #783,Extrovert
I feel drained after social gatherings #433,Introvert
I enjoy group activities #517,Extrovert
I enjoy quiet evenings at home #788,Introvert
I enjoy parties and social events #958,Extrovert
I actively participate in events #907,Extrovert
I enjoy talking on calls for hours #138,Extrovert
I prefer texting over calling #847,Introvert
I feel comfortable being alone #470,Introvert
I like working in teams #282,Extrovert
I like working independently #321,Introvert
I feel energized in crowds #298,Extrovert
I like working in teams #305,Extrovert
I actively participate in events #659,Extrovert
I enjoy solo hobbies like painting #761,Introvert
I feel drained after social gatherings #297,Introvert
I feel drained after social gatherings #898,Introvert
I prefer texting over calling #98,Introvert
I like being the center of attention #752,Extrovert
I prefer spending time alone reading books #540,Introvert
I like small group conversations #119,Introvert
I like working independently #489,Introvert
I love meeting new people #78,Extrovert
I enjoy solo hobbies like painting #362,Introvert
I prefer staying home on weekends #861,Introvert
I feel drained after social gatherings #635,Introvert
I feel drained after social gatherings #469,Introvert
I like being the center of attention #823,Extrovert
I enjoy quiet evenings at home #648,Introvert
I prefer texting over calling #602,Introvert
I enjoy talking on calls for hours #130,Extrovert
I feel energized in crowds #696,Extrovert
I feel energized in crowds #508,Extrovert
I like working independently #482,Introvert
I like being the center of attention #529,Extrovert
I like being the center of attention #665,Extrovert
I enjoy group activities #312,Extrovert
I enjoy group activities #270,Extrovert
I like small group conversations #83,Introvert
I like being the center of attention #90,Extrovert
I feel bored when alone #494,Extrovert
I like small group conversations #228,Introvert
I like being the center of attention #184,Extrovert
I like being the center of attention #641,Extrovert
I prefer spending time alone reading books #887,Introvert
I like being the center of attention #914,Extrovert
I like working independently #924,Introvert
I feel drained after social gatherings #581,Introvert
I prefer staying home on weekends #109,Introvert
I enjoy quiet evenings at home #3,Introvert
I avoid large crowds #916,Introvert
I feel bored when alone #438,Extrovert
I enjoy group activities #707,Extrovert
I like working in teams #522,Extrovert
I prefer staying home on weekends #928,Introvert
I feel bored when alone #646,Extrovert
I love meeting new people #970,Extrovert
I feel energized in crowds #51,Extrovert
I feel comfortable being alone #217,Introvert
I actively participate in events #805,Extrovert
I feel drained after social gatherings #363,Introvert
I enjoy group activities #797,Extrovert
I enjoy solo hobbies like painting #225,Introvert
I prefer spending time alone reading books #536,Introvert
I enjoy parties and social events #410,Extrovert
I like being the center of attention #954,Extrovert
I like working in teams #781,Extrovert
I like working independently #191,Introvert
I feel energized in crowds #588,Extrovert
I love hanging out with friends #472,Extrovert
I enjoy parties and social events #909,Extrovert
I feel comfortable being alone #723,Introvert
I feel comfortable being alone #95,Introvert
I actively participate in events #477,Extrovert
I prefer texting over calling #650,Introvert
I prefer spending time alone reading books #533,Introvert
I feel comfortable being alone #170,Introvert
I like working in teams #437,Extrovert
I enjoy group activities #966,Extrovert
I feel comfortable being alone #692,Introvert
I enjoy parties and social events #214,Extrovert
I like being the center of attention #908,Extrovert
I feel drained after social gatherings #358,Introvert
I love hanging out with friends #866,Extrovert
I prefer spending time alone reading books #298,Introvert
I feel comfortable being alone #67,Introvert
I feel energized in crowds #456,Extrovert
I feel drained after social gatherings #944,Introvert
I love hanging out with friends #999,Extrovert
I enjoy group activities #853,Extrovert
I feel bored when alone #572,Extrovert
I feel energized in crowds #252,Extrovert
I actively participate in events #543,Extrovert
I like being the center of attention #852,Extrovert
I enjoy talking on calls for hours #160,Extrovert
I prefer texting over calling #672,Introvert
I avoid large crowds #750,Introvert
I prefer staying home on weekends #226,Introvert
I feel bored when alone #284,Extrovert
I feel drained after social gatherings #207,Introvert
I prefer texting over calling #860,Introvert
I feel bored when alone #524,Extrovert
I prefer texting over calling #727,Introvert
I prefer staying home on weekends #961,Introvert
I feel drained after social gatherings #645,Introvert
I feel bored when alone #190,Extrovert
I prefer texting over calling #934,Introvert
I like working in teams #669,Extrovert
I like working in teams #520,Extrovert
I enjoy group activities #324,Extrovert
I actively participate in events #117,Extrovert
I enjoy group activities #639,Extrovert
I feel bored when alone #638,Extrovert
I feel bored when alone #876,Extrovert
I like being the center of attention #794,Extrovert
I like working in teams #843,Extrovert
I actively participate in events #643,Extrovert
I actively participate in events #537,Extrovert
I actively participate in events #269,Extrovert
I prefer texting over calling #806,Introvert
I prefer staying home on weekends #239,Introvert
I enjoy solo hobbies like painting #318,Introvert
I avoid large crowds #236,Introvert
I feel drained after social gatherings #722,Introvert
I feel drained after social gatherings #352,Introvert
I prefer texting over calling #858,Introvert
I like being the center of attention #587,Extrovert
I like small group conversations #801,Introvert
I enjoy solo hobbies like painting #815,Introvert
I prefer staying home on weekends #520,Introvert
I enjoy parties and social events #747,Extrovert
I enjoy solo hobbies like painting #770,Introvert
I like working independently #278,Introvert
I like working in teams #2,Extrovert
I like small group conversations #437,Introvert
I enjoy group activities #712,Extrovert
I prefer staying home on weekends #331,Introvert
I like working independently #345,Introvert
I like working independently #845,Introvert
I enjoy quiet evenings at home #462,Introvert
I like being the center of attention #895,Extrovert
I avoid large crowds #175,Introvert
I love hanging out with friends #469,Extrovert
I love hanging out with friends #251,Extrovert
I enjoy quiet evenings at home #666,Introvert
I like working in teams #936,Extrovert
I like small group conversations #466,Introvert
I enjoy solo hobbies like painting #827,Introvert
I feel drained after social gatherings #735,Introvert
I love meeting new people #20,Extrovert
I prefer texting over calling #149,Introvert
I enjoy group activities #971,Extrovert
I like working in teams #710,Extrovert
I love hanging out with friends #434,Extrovert
I avoid large crowds #369,Introvert
I like working in teams #650,Extrovert
I enjoy solo hobbies like painting #841,Introvert
I like working in teams #882,Extrovert
I like working in teams #411,Extrovert
I avoid large crowds #821,Introvert
I prefer texting over calling #340,Introvert
I enjoy quiet evenings at home #586,Introvert
I feel drained after social gatherings #303,Introvert
I enjoy talking on calls for hours #810,Extrovert
I prefer staying home on weekends #483,Introvert
I feel drained after social gatherings #332,Introvert
I love hanging out with friends #715,Extrovert
I feel comfortable being alone #744,Introvert
I prefer texting over calling #737,Introvert
I feel energized in crowds #418,Extrovert
I avoid large crowds #733,Introvert
I enjoy quiet evenings at home #675,Introvert
I feel energized in crowds #347,Extrovert
I feel comfortable being alone #695,Introvert
I love hanging out with friends #920,Extrovert
I feel drained after social gatherings #19,Introvert
I like working independently #397,Introvert
I enjoy parties and social events #164,Extrovert
I enjoy parties and social events #573,Extrovert
I feel comfortable being alone #296,Introvert
I feel bored when alone #740,Extrovert
I enjoy talking on calls for hours #498,Extrovert
I prefer texting over calling #59,Introvert
I feel bored when alone #726,Extrovert
I feel comfortable being alone #658,Introvert
I prefer spending time alone reading books #511,Introvert
I enjoy quiet evenings at home #107,Introvert
I prefer staying home on weekends #585,Introvert
I like working independently #72,Introvert
I like working independently #911,Introvert
I prefer staying home on weekends #1,Introvert
I enjoy parties and social events #596,Extrovert
I prefer texting over calling #856,Introvert
I feel comfortable being alone #975,Introvert
I feel bored when alone #984,Extrovert
I feel bored when alone #74,Extrovert
I feel drained after social gatherings #125,Introvert
I enjoy talking on calls for hours #349,Extrovert
I like working independently #683,Introvert
I like working in teams #576,Extrovert
I enjoy talking on calls for hours #506,Extrovert
I enjoy quiet evenings at home #198,Introvert
I like small group conversations #96,Introvert
I prefer texting over calling #416,Introvert
I like small group conversations #291,Introvert
I prefer spending time alone reading books #731,Introvert
I feel drained after social gatherings #248,Introvert
I love hanging out with friends #976,Extrovert
I prefer texting over calling #204,Introvert
I prefer texting over calling #374,Introvert
I enjoy quiet evenings at home #855,Introvert
I enjoy parties and social events #95,Extrovert
I feel drained after social gatherings #212,Introvert
I prefer texting over calling #359,Introvert
I enjoy quiet evenings at home #431,Introvert
I prefer texting over calling #287,Introvert
I prefer spending time alone reading books #529,Introvert
I enjoy parties and social events #262,Extrovert
I actively participate in events #559,Extrovert
I like small group conversations #616,Introvert
I actively participate in events #521,Extrovert
I like being the center of attention #333,Extrovert
I feel drained after social gatherings #407,Introvert
I prefer texting over calling #69,Introvert
I like being the center of attention #206,Extrovert
I avoid large crowds #386,Introvert
I prefer spending time alone reading books #485,Introvert
I like being the center of attention #675,Extrovert
I feel drained after social gatherings #34,Introvert
I avoid large crowds #48,Introvert
I actively participate in events #600,Extrovert
I enjoy talking on calls for hours #761,Extrovert
I prefer spending time alone reading books #99,Introvert
I enjoy solo hobbies like painting #208,Introvert
I feel bored when alone #877,Extrovert
I feel energized in crowds #444,Extrovert
I feel drained after social gatherings #501,Introvert
I avoid large crowds #284,Introvert
I enjoy talking on calls for hours #934,Extrovert
I enjoy group activities #812,Extrovert
I like small group conversations #277,Introvert
I like working in teams #885,Extrovert
I feel bored when alone #412,Extrovert
I like working in teams #734,Extrovert
I actively participate in events #265,Extrovert
I feel bored when alone #577,Extrovert
I enjoy quiet evenings at home #167,Introvert
I feel energized in crowds #465,Extrovert
I feel energized in crowds #735,Extrovert
I feel bored when alone #613,Extrovert
I like working in teams #238,Extrovert
I prefer staying home on weekends #23,Introvert
I enjoy talking on calls for hours #441,Extrovert
I like small group conversations #601,Introvert
I feel energized in crowds #758,Extrovert
I enjoy parties and social events #83,Extrovert
I feel drained after social gatherings #259,Introvert
I actively participate in events #158,Extrovert
I love hanging out with friends #881,Extrovert
I feel energized in crowds #185,Extrovert
I enjoy parties and social events #545,Extrovert
I like working in teams #24,Extrovert
I love hanging out with friends #62,Extrovert
I enjoy solo hobbies like painting #868,Introvert
I feel comfortable being alone #915,Introvert
I avoid large crowds #238,Introvert
I feel bored when alone #187,Extrovert
I feel bored when alone #340,Extrovert
I feel comfortable being alone #870,Introvert
I enjoy group activities #509,Extrovert
I enjoy talking on calls for hours #884,Extrovert
I feel bored when alone #25,Extrovert
I like being the center of attention #186,Extrovert
I enjoy solo hobbies like painting #40,Introvert
I enjoy solo hobbies like painting #565,Introvert
I enjoy talking on calls for hours #224,Extrovert
I enjoy talking on calls for hours #581,Extrovert
I prefer staying home on weekends #282,Introvert
I feel drained after social gatherings #603,Introvert
I prefer texting over calling #854,Introvert
I enjoy solo hobbies like painting #378,Introvert
I like working independently #624,Introvert
I love meeting new people #991,Extrovert
I feel energized in crowds #872,Extrovert
I avoid large crowds #596,Introvert
I avoid large crowds #235,Introvert
I prefer texting over calling #906,Introvert
I enjoy quiet evenings at home #569,Introvert
I like working independently #626,Introvert
I feel comfortable being alone #419,Introvert
I like working independently #41,Introvert
I enjoy group activities #818,Extrovert
I feel bored when alone #871,Extrovert
I enjoy talking on calls for hours #435,Extrovert
I enjoy solo hobbies like painting #12,Introvert
I love meeting new people #633,Extrovert
I feel energized in crowds #140,Extrovert
I like being the center of attention #986,Extrovert
I love hanging out with friends #890,Extrovert
I feel comfortable being alone #274,Introvert
I feel energized in crowds #147,Extrovert
I enjoy talking on calls for hours #452,Extrovert
I prefer texting over calling #787,Introvert
I like working in teams #507,Extrovert
I feel energized in crowds #303,Extrovert
I feel drained after social gatherings #814,Introvert
I prefer spending time alone reading books #402,Introvert
I like working independently #484,Introvert
I like small group conversations #429,Introvert
I feel drained after social gatherings #221,Introvert
I actively participate in events #67,Extrovert
I like small group conversations #813,Introvert
I like small group conversations #889,Introvert
I prefer staying home on weekends #432,Introvert
I feel bored when alone #837,Extrovert
I prefer staying home on weekends #415,Introvert
I enjoy parties and social events #334,Extrovert
I prefer spending time alone reading books #793,Introvert
I love meeting new people #446,Extrovert
I actively participate in events #891,Extrovert
I enjoy parties and social events #285,Extrovert
I feel comfortable being alone #734,Introvert
I feel comfortable being alone #400,Introvert
I feel drained after social gatherings #428,Introvert
I like small group conversations #129,Introvert
I enjoy parties and social events #779,Extrovert
I actively participate in events #651,Extrovert
I enjoy group activities #92,Extrovert
I like working in teams #558,Extrovert
I feel energized in crowds #330,Extrovert
I love hanging out with friends #445,Extrovert
I love meeting new people #490,Extrovert
I feel drained after social gatherings #535,Introvert
I like small group conversations #324,Introvert
I enjoy parties and social events #532,Extrovert
I love hanging out with friends #89,Extrovert
I prefer texting over calling #817,Introvert
I like working independently #275,Introvert
I enjoy group activities #315,Extrovert
I feel bored when alone #36,Extrovert
I like working in teams #898,Extrovert
I like being the center of attention #755,Extrovert
I feel drained after social gatherings #583,Introvert
I enjoy talking on calls for hours #685,Extrovert
I prefer spending time alone reading books #959,Introvert
I enjoy solo hobbies like painting #327,Introvert
I enjoy solo hobbies like painting #550,Introvert
I like working in teams #37,Extrovert
I love hanging out with friends #79,Extrovert
I enjoy solo hobbies like painting #867,Introvert
I like working independently #893,Introvert
I actively participate in events #933,Extrovert
I feel energized in crowds #566,Extrovert
I actively participate in events #201,Extrovert
I enjoy solo hobbies like painting #786,Introvert
I like working independently #292,Introvert
I feel bored when alone #673,Extrovert
I like working independently #627,Introvert
I like being the center of attention #112,Extrovert
I enjoy group activities #198,Extrovert
I prefer spending time alone reading books #338,Introvert
I love hanging out with friends #749,Extrovert
I prefer staying home on weekends #974,Introvert
I prefer spending time alone reading books #522,Introvert
I enjoy talking on calls for hours #803,Extrovert
I like being the center of attention #851,Extrovert
I feel bored when alone #34,Extrovert
I prefer staying home on weekends #538,Introvert
I love meeting new people #903,Extrovert
I enjoy quiet evenings at home #0,Introvert
